Seed ID,Name,Mol Concentration
cpd00001,H2O,0.8884501481
cpd00971,Na+,0.091932608
cpd00009,Phosphate,0.06364831525
cpd00305,THI,9.87E-04
cpd00063,Ca2+,9.87E-05
cpd00027,D-Glucose,0.001974333662
cpd00099,Cl-,0.02832044835
cpd00254,Mg,9.87E-04
cpd00205,K+,0.02193704069
cpd00129,L-Proline,1.73E-04
cpd00013,NH3,0.01862578927
cpd00048,Sulfate,9.87E-04
